"C","n1","c1","c2","c3","c4","y"
2641015529,60,0,1,1,1,100
1002999139,250,0,0,1,1,90
2107449132,15,1,1,1,1,70
2641015529,30,1,1,0,1,70
2641015529,125,0,1,0,1,100
2107449132,30,1,1,0,1,90
2641015529,125,0,1,0,0,0
2710400219,62.5,1,0,1,0,0
2641015529,60,1,1,1,1,70
2641015529,30,1,1,0,1,100
2641015529,8,0,1,1,1,0
2082539967,30,1,1,0,0,30
2045569781,60,1,1,0,1,0
2995083351,250,0,0,0,0,90
2528308950,30,1,1,1,1,30
2347995646,250,1,0,1,1,0
2641015529,15,0,1,0,1,0
2641015529,60,0,1,1,0,0
950105675,2,1,1,1,1,20
2641015529,60,1,1,1,1,80
2049459348,15,1,1,0,1,0
500605627,15,1,1,1,1,0
1277426043,1,1,1,1,1,0
2641015529,8,0,1,0,0,90
2641015529,60,0,1,1,1,10
2034936463,250,1,1,1,1,70
2641015529,15,0,1,0,0,40
202504168,125,0,1,1,0,0
2767299108,60,1,1,0,0,80
2641015529,250,1,0,1,0,90
2641015529,250,0,1,0,1,70
2034936463,125,1,1,1,1,0
2641015529,125,1,1,1,1,60
2641015529,30,1,1,0,0,70
2641015529,125,0,1,1,1,80
2743794462,250,0,1,1,0,20
2302716872,1,1,1,0,0,0
2095474286,250,1,0,0,1,100
1081277991,30,0,1,1,1,0
2089713397,60,1,1,0,0,80
2641015529,125,1,1,0,1,100
2858315009,125,1,1,1,1,70
1530256782,125,1,1,1,0,80
1530256782,15,0,1,1,0,20
2641015529,250,1,1,1,1,90
2641015529,30,0,1,1,1,40
1681609983,1000,0,0,0,0,40
2641015529,125,0,1,1,1,70
2641015529,30,0,1,0,0,0
2641015529,125,1,1,0,0,80
1067589216,62.5,1,0,1,1,70
2641015529,15,1,1,1,0,0
2641015529,125,1,1,1,0,30
2641015529,31.25,1,0,0,1,80
2641015529,125,1,1,0,1,70
877570563,250,1,0,0,0,80
2641015529,8,0,1,1,0,0
2641015529,62.5,0,0,0,0,70
2641015529,30,0,1,0,1,10
717281094,1000,1,0,0,0,50
2984943882,60,0,1,0,0,0
2528308950,250,1,1,0,1,80
2641015529,15,1,1,1,1,40
564087361,60,0,1,0,0,0
2641015529,30,0,1,1,0,10
1541548777,125,1,1,1,1,80
298091004,60,0,1,1,0,20
2641015529,60,0,1,1,1,60
1530256782,125,0,1,0,0,100
2641015529,15,0,1,1,0,0
2641015529,15,1,1,1,1,70
35270584,250,1,0,1,1,40
2641015529,30,1,1,1,1,60
2641015529,8,0,1,0,0,30
2641015529,8,1,1,1,0,0
303272347,30,1,1,1,0,0
2641015529,125,0,1,1,0,0
2112473591,125,0,1,1,0,0
2011778366,250,1,1,1,1,10
2096438188,125,0,1,1,0,10
2641015529,125,1,1,1,1,100
2641015529,125,0,1,1,1,90
2145526726,250,1,1,1,1,40
2641015529,60,1,1,1,1,70
2641015529,30,1,1,1,1,80
445671389,4,1,1,0,1,100
921639582,125,0,1,0,1,70
594851779,60,0,1,0,0,0
2641015529,250,0,1,0,1,100
663519066,125,1,1,0,0,70
2641015529,15,0,1,1,0,20
1150271433,1000,1,0,0,0,100
2641015529,125,1,1,1,1,80
2641015529,30,0,1,1,1,10
2084088787,15,1,1,0,1,0
1454071915,60,0,1,0,0,40
1003825319,60,0,1,0,1,0
2022360005,8,1,1,1,1,30
2641015529,15,0,1,0,1,30
2641015529,125,1,1,1,0,0
2641015529,15,1,1,1,0,0
1530256782,250,0,1,0,1,100
2003008976,62.5,1,0,1,1,80
2641015529,125,1,1,0,0,80
2641474502,125,0,1,0,0,0
2528308950,60,1,1,1,1,80
2641015529,250,0,1,1,1,90
2641015529,250,0,1,1,1,80
2028967851,250,0,1,0,0,70
2641015529,125,1,1,1,1,20
